Name,WPM,Accuracy,Date,Mode
Nisha,11.864528502692394,90.0,2025-12-09 08:52:20.398995,
Nisha,19.7248835268677,90.0,2025-12-09 08:55:21.275819,
Nisha,22.51253671966144,90.0,2025-12-09 08:59:59.113242,
Nidhi,27.988584412447093,90.0,2025-12-09 09:30:39.642015,
slow,14.977187689886849,70.0,2025-12-09 09:33:04.382588,
prachiti,0.0,0.0,2025-12-09 11:41:46.973773,
tiya,23.09278238508487,80.0,2025-12-09 11:43:22.071607,
tiya,5.404638186150365,80.0,2025-12-09 11:44:47.105220,
Nisha,0.0,0.0,2025-12-09 12:12:02.981351,
Varshini,4.651971035575072,0.0,2025-12-09 13:24:23.495644,
Varshini,6.800466864529947,0.0,2025-12-09 13:24:56.871889,
Varshini,104.22807689169596,0.0,2025-12-09 13:25:15.553490,
Nisha,5.607325554382904,0.0,2025-12-09 13:40:21.169638,
Nisha,8.331472152556461,0.0,2025-12-09 13:40:36.294367,
Nisha,23.96702363622097,26.5625,2025-12-09 13:47:35.611064,
Nisha,8.693473631120684,0.0,2025-12-09 14:14:45.537426,
Nisha,31.974322277179485,28.125,2025-12-09 14:16:24.113746,
Nisha,11.042536176669527,0.0,2025-12-09 14:18:25.145994,
Nisha,28.90926219828872,6.25,2025-12-09 14:24:12.559118,
Nisha,26.951871947928016,23.4375,2025-12-09 16:21:51.052730,
Nisha,6.228132860471054,0.0,2025-12-09 16:28:31.756797,
Nisha,29.94967797682524,28.125,2025-12-09 16:32:31.765211,
Nisha,10.797560710745843,0.0,2025-12-09 16:40:25.856725,
Nisha,8.05531220762839,0.0,2025-12-09 16:46:54.357073,
Nisha,11.568030201568108,0.0,2025-12-09 16:58:21.753359,
Nisha,10.96881467380319,90.9090909090909,2025-12-09 17:21:58.206917,
Nisha,22.9169826331294,100.0,2025-12-09 17:25:25.653750,
Anu,24.23702179964809,100.0,2025-12-09 17:26:39.598025,
Anu,23.78985296174531,78.94736842105263,2025-12-09 17:30:47.789791,
Anu,6.973347058237134,41.17647058823529,2025-12-09 22:30:15.042709,
Daily Challenge,8.952855129083385,0.0,2025-12-10 14:31:52.964008,
Daily Challenge,0.0,0.0,2025-12-10 14:38:00.920122,
Daily Challenge,15.49151781640946,0.0,2025-12-10 14:39:01.790681,
Daily Challenge,6.410576341276412,28.57142857142857,2025-12-10 14:40:11.251739,
Daily Challenge,0.0,0.0,2025-12-10 14:41:22.971696,
Daily Challenge,0.0,0.0,2025-12-10 14:41:58.663384,
Daily Challenge,0.0,0.0,2025-12-10 14:45:47.395026,
Daily Challenge,0.985712964777381,0.0,2025-12-10 14:55:05.378890,
Daily Challenge,1.9625935063007232,0.0,2025-12-10 15:04:23.423993,
Daily Challenge,10.856967054670632,0.0,2025-12-10 15:07:07.921994,
Daily Challenge,0.9849381605112104,0.0,2025-12-10 15:08:36.390278,
Daily Challenge,0.0,0.0,2025-12-10 15:12:01.406476,
Daily Challenger,0.0,0.0,2025-12-10 15:16:22.386667,Backwards
Daily Challenger,7.97,0.0,2025-12-10 15:25:07.024296,Backwards
Nidhi,8.23,28.57,2025-12-10 17:20:13.569478,Normal
Daily Challenger,15.7,0.0,2025-12-10 17:21:06.125970,Backwards
Nidhi,14.99,85.71,2025-12-10 17:27:46.893877,Normal
Nisha,26.66,100.0,2025-12-10 17:28:30.736478,Normal
Nidhi,28.71,100.0,2025-12-10 18:48:56.526264,
Anu,0.0,0.0,2025-12-11 21:57:28.841583,Normal
Anu,0.0,0.0,2025-12-11 21:58:09.772278,Normal
Anu,9.0,77.78,2025-12-11 22:01:30.985119,Normal
Daily Challenger,14.0,0.0,2025-12-11 22:02:45.612311,Backwards
Parth,1.0,0.0,2025-12-12 13:10:59.241009,Normal
Varshini,25165824.0,0.0,2025-12-16 15:02:27.595549,Normal
Varshini,14803425.88,0.0,2025-12-16 15:05:13.247373,Normal
Varshini,60.0,0.0,2025-12-16 15:10:53,normal
Nidhi,60.0,0.0,2025-12-16 15:16:02,normal
Anu,3.0,7.69,2025-12-16 16:01:12.837840,Normal
Varshini,1.0,0.0,2025-12-16 16:04:54.898357,Normal
Varshini,1.0,0.0,2025-12-16 16:09:06.290361,Normal
Varshini,5.0,0.0,2025-12-16 16:11:37.767991,Normal
Priya,16.0,100.0,2025-12-16 20:46:55.525129,Normal
Daily Challenger,1.0,0.0,2025-12-16 20:51:34.049256,Backwards
Priya,16.0,100.0,2025-12-16 21:00:07.805882,Normal
Varshini,0.0,0.0,2025-12-16 22:07:07.258119,Normal
Varshini,0.0,0.0,2025-12-16 22:12:42.738701,Normal
Varshini,0.0,0.0,2025-12-16 22:15:33.787658,Normal
Varshini,13.0,100.0,2025-12-16 22:24:02.008390,Normal
Nisha,18.37,24.79,2025-12-16 22:27:03.853885,Normal
Hasini,26.0,100.0,2025-12-17 09:43:48.501145,Normal
Nidhi,0.2,0.0,2025-12-17 09:45:48.441247,Normal
Nidhi,3.9,9.92,2025-12-17 09:46:49.333584,Normal
Nidhi,6.0,0.0,2025-12-17 09:47:22.876455,Normal
Nidhi,16.0,93.75,2025-12-17 09:48:05.067160,Normal
Daily Challenger,11.0,0.0,2025-12-17 09:49:35.488569,Backwards
Varshini,0.88,0.0,2025-12-17 15:05:22.979813,Normal
Daily Challenger,1.0,0.0,2025-12-17 15:13:44.844311,Backwards
Priya,14.57,21.74,2025-12-18 20:08:16.212357,Normal
Daily Challenger,9.0,0.0,2025-12-18 20:10:48.558787,Backwards
